CONTRACT_NUMBER,CONTRACT_VALUE,COMMODITY_CODE,VENDOR_NAME,STATUS,START_DATE,END_DATE,CURRENT_SPEND,EXHAUSTION_RATE
CTR-20250000,79012,14000000,Vendor-0 Inc.,Pending,2025-07-06,2026-07-06,15000,18.98
CTR-2025-BIC-001,3500,44120000,BIC,Active,2025-07-13,2026-07-13,2100,60.00
CTR-20250001,125000,43211503,DELL MARKETING LP,Active,2025-06-01,2026-06-01,45000,36.00
CTR-20250002,85000,43211900,HP INC,Active,2025-05-15,2026-05-15,32000,37.65
CTR-20250002B,75000,43211530,HP INC,Active,2025-05-15,2026-05-15,28000,37.33
CTR-20250003,95000,44120000,Steelcase Inc.,Active,2025-04-20,2026-04-20,28500,30.00
CTR-20250004,65000,43212100,Canon USA,Active,2025-07-01,2026-07-01,19500,30.00
CTR-20250004B,55000,43212100,Brother USA,Active,2025-07-01,2026-07-01,16500,30.00
CTR-20250005,45000,43211708,Logitech USA,Active,2025-06-10,2026-06-10,22500,50.00
CTR-20250006,55000,12000000,3M Company,Active,2025-05-01,2026-05-01,16500,30.00
CTR-20250007,75000,47000000,Amazon Business,Active,2025-06-15,2026-06-15,37500,50.00
CTR-20250008,35000,43211600,LENOVO US,Active,2025-07-05,2026-07-05,10500,30.00
CTR-20250009,85000,43211609,LENOVO US,Active,2025-06-10,2026-06-10,25500,30.00
CTR-20250010,45000,44121500,3M Company,Active,2025-05-01,2026-05-01,13500,30.00
CTR-20250011,35000,44110000,3M Company,Active,2025-05-01,2026-05-01,10500,30.00
CTR-20250012,65000,44122011,Amazon Business,Active,2025-06-15,2026-06-15,19500,30.00
CTR-20250013,25000,44102801,Amazon Business,Active,2025-06-15,2026-06-15,7500,30.00
CTR-20250014,95000,32000000,RS Components USA,Active,2025-04-01,2026-04-01,28500,30.00
CTR-20250015,45000,12000000,VWR International,Active,2025-05-01,2026-05-01,13500,30.00
CTR-20250016,35000,12000000,Arco US Inc.,Active,2025-05-01,2026-05-01,10500,30.00
CTR-20250017,95000,43211503,LENOVO US,Active,2025-06-01,2026-06-01,28500,30.00
CTR-20250018,85000,43211503,HP INC,Active,2025-05-15,2026-05-15,25500,30.00
CTR-20250019,65000,43211503,TechnoDELL,Active,2025-06-01,2026-06-01,19500,30.00
CTR-20250020,45000,44120000,BIC,Active,2025-07-13,2026-07-13,13500,30.00
CTR-20250021,35000,14000000,Staples US,Active,2025-06-15,2026-06-15,10500,30.00
CTR-20250022,25000,47000000,3M Company,Active,2025-05-01,2026-05-01,7500,30.00
CTR-20250023,55000,43211708,HP INC,Active,2025-05-15,2026-05-15,16500,30.00
CTR-20250024,45000,43211708,DELL MARKETING LP,Active,2025-06-01,2026-06-01,13500,30.00
