,Order #,Invoice#,Invoice Dt,Invoice Amt,Currency,RTM,SoldTo,Account Holder,Name1,Name2,Name Co,City1,Home City,Post code1,Post code2,Street,Str Suppl1,Str Suppl3,Location,Country,Language,Region,Tel_number,Mc_name,Mc_city1,Mc_Street
10001,7050000001,INV-2025-001,20250301,"15,000.00",JPY,CCMT,100000001,,Tanaka Electronics,,Tanaka Electronics Co. Ltd.,Tokyo,,100-0001,,1-2-3 Marunouchi,,,,JP,J,1,,TANAKA ELECTRONICS,TOKYO,1-2-3 MARUNOUCHI
10002,7050000002,INV-2025-002,20250301,"8,500.00",JPY,CCMT,100000002,,Sakura Trading,,Sakura Trading Inc.,Osaka,,530-0001,,4-5-6 Umeda,,,,JP,J,2,,SAKURA TRADING,OSAKA,4-5-6 UMEDA
10003,7050000003,INV-2025-003,20250302,"23,750.00",JPY,CCMT,100000003,,Fujiyama Industries,,Fujiyama Industries Holdings,Nagoya,,460-0001,,7-8-9 Sakae,,,,JP,J,3,,FUJIYAMA INDUSTRIES,NAGOYA,7-8-9 SAKAE
10004,7050000004,INV-2025-004,20250302,"3,200.00",JPY,CCMT,100000004,,Hokkaido Systems,,Hokkaido Systems Corp.,Sapporo,,060-0001,,10-11 Kita,,,,JP,J,1,,HOKKAIDO SYSTEMS,SAPPORO,10-11 KITA
10005,7050000005,INV-2025-005,20250303,"45,600.00",JPY,CCMT,100000005,,Kansai Logistics,,Kansai Logistics Co.,Kobe,,650-0001,,12-3 Sannomiya,,,,JP,J,2,,KANSAI LOGISTICS,KOBE,12-3 SANNOMIYA
10006,7050000006,INV-2025-006,20250303,"12,000.00",JPY,CCMT,100000006,,Nihon Software,,Nihon Software Solutions,Yokohama,,220-0001,,5-6 Minato,,,,JP,J,1,,NIHON SOFTWARE,YOKOHAMA,5-6 MINATO
10007,7050000007,INV-2025-007,20250304,"67,890.00",JPY,CCMT,100000007,,Pacific Marine,,Pacific Marine Services Ltd.,Fukuoka,,810-0001,,8-9 Hakata,,,,JP,J,4,,PACIFIC MARINE,FUKUOKA,8-9 HAKATA
10008,7050000008,INV-2025-008,20250304,"5,430.00",JPY,CCMT,100000008,,Sunrise Manufacturing,,Sunrise Manufacturing Inc.,Sendai,,980-0001,,2-3 Aoba,,,,JP,J,1,,SUNRISE MFG,SENDAI,2-3 AOBA
10009,7050000009,INV-2025-009,20250305,"19,200.00",JPY,CCMT,100000009,,Kyoto Ceramics,,Kyoto Ceramics Co. Ltd.,Kyoto,,600-0001,,4-5 Kawaramachi,,,,JP,J,2,,KYOTO CERAMICS,KYOTO,4-5 KAWARAMACHI
10010,7050000010,INV-2025-010,20250305,"31,500.00",JPY,CCMT,100000010,,Shikoku Electric,,Shikoku Electric Power Corp.,Takamatsu,,760-0001,,1-2 Tamamo,,,,JP,J,4,,SHIKOKU ELECTRIC,TAKAMATSU,1-2 TAMAMO
10011,7050000011,INV-2025-011,20250306,"8,500.00",JPY,CCMT,100000002,,Sakura Trading,,Sakura Trading Inc.,Osaka,,530-0001,,4-5-6 Umeda,,,,JP,J,2,,SAKURA TRADING,OSAKA,4-5-6 UMEDA
10012,7050000012,INV-2025-012,20250306,"42,100.00",JPY,CCMT,100000011,,Okinawa Resort,,Okinawa Resort Management,Naha,,900-0001,,7-8 Kokusai,,,,JP,J,4,,OKINAWA RESORT,NAHA,7-8 KOKUSAI
10013,7050000013,INV-2025-013,20250307,"15,000.00",JPY,CCMT,100000001,,Tanaka Electronics,,Tanaka Electronics Co. Ltd.,Tokyo,,100-0001,,1-2-3 Marunouchi,,,,JP,J,1,,TANAKA ELECTRONICS,TOKYO,1-2-3 MARUNOUCHI
10014,7050000014,INV-2025-014,20250307,"6,780.00",JPY,CCMT,100000012,,Niigata Foods,,Niigata Foods Processing,Niigata,,950-0001,,3-4 Bandai,,,,JP,J,1,,NIIGATA FOODS,NIIGATA,3-4 BANDAI
10015,7050000015,INV-2025-015,20250308,"28,900.00",JPY,CCMT,100000013,,Chiba Pharma,,Chiba Pharmaceutical Inc.,Chiba,,260-0001,,5-6 Chuo,,,,JP,J,1,,CHIBA PHARMA,CHIBA,5-6 CHUO
10016,7050000016,INV-2025-016,20250308,"11,250.00",JPY,CCMT,100000014,,Hiroshima Steel,,Hiroshima Steel Works Co.,Hiroshima,,730-0001,,2-3 Kamiya,,,,JP,J,3,,HIROSHIMA STEEL,HIROSHIMA,2-3 KAMIYA
10017,7050000017,INV-2025-017,20250309,"54,320.00",JPY,CCMT,100000015,,Nagasaki Shipping,,Nagasaki Shipping Corp.,Nagasaki,,850-0001,,4-5 Dejima,,,,JP,J,4,,NAGASAKI SHIPPING,NAGASAKI,4-5 DEJIMA
10018,7050000018,INV-2025-018,20250309,"7,650.00",JPY,CCMT,100000016,,Saitama Tech,,Saitama Technology Group,Saitama,,330-0001,,6-7 Omiya,,,,JP,J,1,,SAITAMA TECH,SAITAMA,6-7 OMIYA
10019,7050000019,INV-2025-019,20250310,"22,400.00",JPY,CCMT,100000017,,Kumamoto Agri,,Kumamoto Agricultural Co.,Kumamoto,,860-0001,,8-9 Shimotori,,,,JP,J,4,,KUMAMOTO AGRI,KUMAMOTO,8-9 SHIMOTORI
10020,7050000020,INV-2025-020,20250310,"95,000.00",JPY,CCMT,100000018,,Hokuriku Chemical,,Hokuriku Chemical Industries,Kanazawa,,920-0001,,1-2 Katamachi,,,,JP,J,3,,HOKURIKU CHEMICAL,KANAZAWA,1-2 KATAMACHI
